course_id,difficulty_score,confidence,difficulty_score_raw
ASIANAM137,8.24054054054054,medium,6.993651217862009
ASIANAM138,2.7536679536679536,high,4.1593406412534195
ASIANAM141,8.603088803088802,low,7.391519782553175
ASIANAM142,3.4486486486486485,medium,4.518868690795292
ASIANAM143,1.8895752895752895,medium,3.174770408680748
ASIANAM150,2.6054054054054054,high,4.0084783122269565
ASIANAM151,6.21930501930502,medium,5.824583832632442
ASIANAM151C,3.687258687258687,high,4.699997261820141
ASIANAM151D,1.324903474903475,medium,2.2129268730402467
ASIANAM151E,5.213899613899614,high,5.516428272121968
ASIANAM151F,1.452895752895753,high,2.4635313083666857
ASIANAM151H,5.08996138996139,high,5.4791431969215445
ASIANAM151J,4.895945945945947,medium,5.418633684941124
ASIANAM151K,4.975289575289576,high,5.446862285120388
ASIANAM161,4.511389961389962,medium,5.2551443134350215
ASIANAM162,4.725096525096525,high,5.3534519893019485
ASIANAM163,1.9567567567567568,medium,3.244291140746184
ASIANAM164,1.4123552123552123,high,2.409872000284009
ASIANAM166,6.417374517374517,high,5.918175389099081
ASIANAM167,2.955212355212355,medium,4.277792724842846
ASIANAM168,2.224903474903475,low,3.5471874844165274
ASIANAM171A,4.441312741312741,medium,5.223117724556511
ASIANAM199,2.53011583011583,medium,3.9173039750687018
ASIANAM200A,3.408108108108108,medium,4.493971452995931
ASIANAM200B,4.184169884169885,medium,5.059714477582626
ASIANAM200C,2.623938223938224,medium,4.025431941728625
ASIANAM200D,2.559073359073359,medium,3.954090495040743
ASIANAM201,2.3818532818532816,medium,3.7298203601938686
ASIANAM202,6.706949806949806,medium,6.080083337711968
ASIANAM250,4.645173745173745,medium,5.324321305162415
ASIANAM290,2.3204633204633205,medium,3.659794635553313
ASIANAM291,2.2416988416988417,medium,3.567670213038681
ASIANAM399,2.513899613899614,medium,3.9028602889352917
ASIANAM50,8.165250965250966,high,6.899198882005935
ASIANAM51,6.640926640926641,high,6.042234262067256
ASIANAM52,6.402316602316603,high,5.914299341431235
ASIANAM54,1.372972972972973,high,2.3157504381281986
ASIANAM55,1.7413127413127412,medium,2.927468962642465
ASL1A,2.655212355212355,high,4.051655769456381
ASL1B,2.5625482625482627,high,3.9591816546739325
ASL1C,2.641312741312741,medium,4.039204466813258
BANA200,4.166795366795367,high,5.050585641053757
BANA201A,5.831274131274132,high,5.695115429917879
BANA201B,7.493436293436294,high,6.588436788788642
BANA205,8.044787644787645,high,6.768882182734347
BANA208,2.7583011583011583,medium,4.162403157635029
BANA211,1.445945945945946,medium,2.460876354832158
BANA212,5.6633204633204635,high,5.643812367531859
BANA241,2.56949806949807,medium,3.9634134219223807
BANA271,6.621235521235521,high,6.026741003648302
BANA273,8.084169884169885,high,6.80324534304084
BANA274,8.0992277992278,high,6.820946498029841
BANA275,5.3366795366795365,high,5.552834943624502
BANA277,3.8424710424710424,medium,4.82593065456029
BANA279,8.193050193050192,high,6.933946659099261
BANA287,3.6884169884169884,medium,4.700220761799943
BANA290,3.5725868725868724,high,4.61226598286679
BANA295,3.9455598455598455,high,4.9026888147859315
BANA298A,2.518532818532819,high,3.906175972779628
BANA298B,1.6057915057915058,medium,2.704081575006123
BANA299,1.4725868725868727,medium,2.5043539698418478
BATS201,2.5915057915057913,low,3.9912314063331196
BATS209A,8.532432432432433,low,7.3068369963952335
BATS209B,5.696911196911197,low,5.652611175632145
BATS210A,7.58957528957529,low,6.6428507497226486
BATS232,2.1687258687258684,low,3.50276645513525
BATS240,1.0249034749034749,low,1.0
BATS241,6.861003861003861,low,6.172021113520342
BATS242,7.3555984555984555,low,6.513081450698692
BATS245A,2.512741312741313,low,3.9023893477705647
BATS245B,3.055984555984556,low,4.297021113520343
BATS247,4.374131274131274,low,5.183777990184053
BATS251,4.06949806949807,low,4.986129365516794
BATS253,2.24980694980695,medium,3.5799008756788844
BATS255,2.2706563706563707,medium,3.5927441085553857
BATS257,8.457142857142857,medium,7.228122800011433
BATS280,1.088030888030888,medium,1.3978397019846027
BATS295,1.9393822393822395,medium,3.2280667378157792
BATS296,2.73976833976834,medium,4.136157219921506
BATS299,1.094980694980695,medium,1.4202533789373804
BIOCHEM200A,1.7876447876447876,medium,3.0092785563504374
BIOCHEM200B,1.7679536679536678,medium,2.960039001995848
BIOCHEM200C,1.8027027027027027,medium,3.035602544994906
BIOCHEM200R,1.9857142857142858,medium,3.280523981412496
BIOCHEM202A,1.074131274131274,medium,1.2874125177192122
BIOCHEM202B,1.0694980694980696,medium,1.2133510913623298
BIOCHEM202C,1.0671814671814672,medium,1.2081474062071509
BIOCHEM207,8.495366795366795,medium,7.270765218666474
BIOCHEM210A,9.72084942084942,low,8.781714991071363
BIOCHEM212,9.737644787644788,low,8.820479409882367
BIOCHEM215,9.03976833976834,medium,7.813502549412512
BIOCHEM217,9.823938223938224,low,8.955738948480414
BIOCHEM225,9.018339768339768,medium,7.787940305221351
BIOCHEM228,9.834362934362934,low,8.97670168139967
BIOCHEM242,8.23011583011583,low,6.981748265250601
